"Model.Technique","SplitRatio","Threshold","AUC","TrainingSet_Accuracy","TestingSet_Accuracy"
"glm",0.5,"0.4","0.655588811225085",0.592952175476447,0.598130841121495
"glm",0.5,"0.45","0.655588811225085",0.600143833153542,0.599928109273904
"glm",0.5,"0.5","0.655588811225085",0.609492988133765,0.609273903666427
"glm",0.5,"0.55","0.655588811225085",0.600862998921251,0.610711718188354
"glm",0.5,"0.6","0.655588811225085",0.571377202445164,0.575125808770669
"CART",0.5,"","",0.613448399856167,0.607476635514019
"RandomForest",0.5,"","",0.610571736785329,0.610352264557872
"glm",0.55,"0.4","0.659207767507907",0.590522875816993,0.6016779864163
"glm",0.55,"0.45","0.659207767507907",0.601633986928105,0.604874151018778
"glm",0.55,"0.5","0.659207767507907",0.606535947712418,0.61246504194966
"glm",0.55,"0.55","0.659207767507907",0.599346405228758,0.612065521374351
"glm",0.55,"0.6","0.659207767507907",0.590522875816993,0.606472233320016
"CART",0.55,"","",0.608823529411765,0.61246504194966
"RandomForest",0.55,"","",0.61078431372549,0.616859768278066
"glm",0.6,"0.4","0.65513862332696",0.595445010488463,0.596585804132974
"glm",0.6,"0.45","0.65513862332696",0.608330836080312,0.60062893081761
"glm",0.6,"0.5","0.65513862332696",0.608031165717711,0.610512129380054
"glm",0.6,"0.55","0.65513862332696",0.603236439916092,0.609164420485175
"glm",0.6,"0.6","0.65513862332696",0.587353910698232,0.60062893081761
"CART",0.6,"","",0.617920287683548,0.61141060197664
"RandomForest",0.6,"","",0.609529517530716,0.609164420485175
"glm",0.65,"0.4","0.65611947727369",0.591261061946903,0.603492552645095
"glm",0.65,"0.45","0.65611947727369",0.605641592920354,0.604006163328197
"glm",0.65,"0.5","0.65611947727369",0.60978982300885,0.610169491525424
"glm",0.65,"0.55","0.65611947727369",0.606194690265487,0.610169491525424
"glm",0.65,"0.6","0.65611947727369",0.591261061946903,0.59527478171546
"CART",0.65,"","",0.608683628318584,0.612737544940935
"RandomForest",0.65,"","",0.61283185840708,0.610169491525424
"glm",0.7,"0.4","0.662280208693647",0.590138674884438,0.60814859197124
"glm",0.7,"0.45","0.662280208693647",0.605033384694402,0.605751947273817
"glm",0.7,"0.5","0.662280208693647",0.606317411402157,0.618933493109647
"glm",0.7,"0.55","0.662280208693647",0.609142270159219,0.610545236668664
"glm",0.7,"0.6","0.662280208693647",0.590395480225989,0.59796285200719
"CART",0.7,"","",0.609142270159219,0.612342720191732
"RandomForest",0.7,"","",0.612737544940935,0.61114439784302
"glm",0.75,"0.4","0.659284893298312",0.591323106423778,0.608195542774982
"glm",0.75,"0.45","0.659284893298312",0.602109300095877,0.597411933860532
"glm",0.75,"0.5","0.659284893298312",0.60882070949185,0.613946800862689
"glm",0.75,"0.55","0.659284893298312",0.60953978906999,0.607476635514019
"glm",0.75,"0.6","0.659284893298312",0.592281879194631,0.595974119338605
"CART",0.75,"","",0.610738255033557,0.608195542774982
"RandomForest",0.75,"","",0.610738255033557,0.608195542774982
"glm",0.8,"0.4","0.659602359270182",0.592808988764045,0.606469002695418
"glm",0.8,"0.45","0.659602359270182",0.598876404494382,0.599281221922731
"glm",0.8,"0.5","0.659602359270182",0.607865168539326,0.619047619047619
"glm",0.8,"0.55","0.659602359270182",0.607415730337079,0.615453728661276
"glm",0.8,"0.6","0.659602359270182",0.590786516853933,0.600179694519317
"CART",0.8,"","",0.60876404494382,0.615453728661276
"RandomForest",0.8,"","",0.613932584269663,0.601976639712489
