"Model.Technique","SplitRatio","Threshold","AUC","TrainingSet_Accuracy","TestingSet_Accuracy"
"glm",0.5,"0.4","0.661967761596617",0.599065084501978,0.584831056793674
"glm",0.5,"0.45","0.661967761596617",0.615605897159295,0.60136592379583
"glm",0.5,"0.5","0.661967761596617",0.624235886371809,0.611790079079799
"glm",0.5,"0.55","0.661967761596617",0.610571736785329,0.6078360891445
"glm",0.5,"0.6","0.661967761596617",0.596548004314995,0.595255212077642
"CART",0.5,"","",0.624955052139518,0.597411933860532
"RandomForest",0.5,"","",0.603739661992089,0.601725377426312
"glm",0.55,"0.4","0.671887255278901",0.595098039215686,0.589292848581702
"glm",0.55,"0.45","0.671887255278901",0.611764705882353,0.608469836196564
"glm",0.55,"0.5","0.671887255278901",0.621895424836601,0.622852576907711
"glm",0.55,"0.55","0.671887255278901",0.603921568627451,0.610067918497803
"glm",0.55,"0.6","0.671887255278901",0.594771241830065,0.599280862964443
"CART",0.55,"","",0.615032679738562,0.606871753895326
"RandomForest",0.55,"","",0.59640522875817,0.598481821813823
"glm",0.6,"0.4","0.678081958712774",0.593347317950255,0.593441150044924
"glm",0.6,"0.45","0.678081958712774",0.6053341324543,0.605121293800539
"glm",0.6,"0.5","0.678081958712774",0.622715013485166,0.631176999101527
"glm",0.6,"0.55","0.678081958712774",0.606832484267306,0.613656783468104
"glm",0.6,"0.6","0.678081958712774",0.590949955049446,0.596136567834681
"CART",0.6,"","",0.605933473179503,0.613656783468104
"RandomForest",0.6,"","",0.603236439916092,0.598831985624438
"glm",0.65,"0.4","0.681076057948916",0.590431415929204,0.59989727786338
"glm",0.65,"0.45","0.681076057948916",0.608130530973451,0.613251155624037
"glm",0.65,"0.5","0.681076057948916",0.626106194690266,0.636363636363636
"glm",0.65,"0.55","0.681076057948916",0.611449115044248,0.610169491525424
"glm",0.65,"0.6","0.681076057948916",0.594856194690266,0.592706728299949
"CART",0.65,"","",0.616426991150443,0.617873651771957
"RandomForest",0.65,"","",0.59679203539823,0.589625064201335
"glm",0.7,"0.4","0.674534474806871",0.591936312275295,0.596764529658478
"glm",0.7,"0.45","0.674534474806871",0.608628659476117,0.606950269622529
"glm",0.7,"0.5","0.674534474806871",0.631484334874165,0.624925104853206
"glm",0.7,"0.55","0.674534474806871",0.61402157164869,0.603355302576393
"glm",0.7,"0.6","0.674534474806871",0.594504365690806,0.599161174355902
"CART",0.7,"","",0.609142270159219,0.608747753145596
"RandomForest",0.7,"","",0.592706728299949,0.594367884961055
"glm",0.75,"0.4","0.674500724069395",0.593959731543624,0.598130841121495
"glm",0.75,"0.45","0.674500724069395",0.60953978906999,0.608195542774982
"glm",0.75,"0.5","0.674500724069395",0.628715244487057,0.629043853342919
"glm",0.75,"0.55","0.674500724069395",0.61529242569511,0.601725377426312
"glm",0.75,"0.6","0.674500724069395",0.593959731543624,0.593817397555715
"CART",0.75,"","",0.608581016299137,0.610352264557872
"RandomForest",0.75,"","",0.598993288590604,0.588785046728972
"glm",0.8,"0.4","0.667150079398517",0.592359550561798,0.599281221922731
"glm",0.8,"0.45","0.667150079398517",0.614831460674157,0.609164420485175
"glm",0.8,"0.5","0.667150079398517",0.625393258426966,0.612758310871518
"glm",0.8,"0.55","0.667150079398517",0.61685393258427,0.595687331536388
"glm",0.8,"0.6","0.667150079398517",0.598426966292135,0.588499550763702
"CART",0.8,"","",0.609887640449438,0.605570530098832
"RandomForest",0.8,"","",0.601797752808989,0.596585804132974
