"Model.Technique","SplitRatio","Threshold","AUC","TrainingSet_Accuracy","TestingSet_Accuracy"
"glm",0.5,"0.4","0.652708103691982",0.667026249550521,0.595974119338605
"glm",0.5,"0.45","0.652708103691982",0.68212873067242,0.597411933860532
"glm",0.5,"0.5","0.652708103691982",0.689679971233369,0.600647016534867
"glm",0.5,"0.55","0.652708103691982",0.683207479323984,0.60136592379583
"glm",0.5,"0.6","0.652708103691982",0.665947500898957,0.598130841121495
"CART",0.5,"","",0.636461704422869,0.6078360891445
"RandomForest",0.5,"","",0.596907587198849,0.629762760603882
"glm",0.55,"0.4","0.660332369571791",0.657843137254902,0.598481821813823
"glm",0.55,"0.45","0.660332369571791",0.676470588235294,0.608469836196564
"glm",0.55,"0.5","0.660332369571791",0.681045751633987,0.608070315621254
"glm",0.55,"0.55","0.660332369571791",0.668627450980392,0.610067918497803
"glm",0.55,"0.6","0.660332369571791",0.659150326797386,0.60207750699161
"CART",0.55,"","",0.633986928104575,0.622453056332401
"RandomForest",0.55,"","",0.602287581699346,0.628845385537355
"glm",0.6,"0.4","0.661639984444374",0.6577764459095,0.598831985624438
"glm",0.6,"0.45","0.661639984444374",0.672460293676955,0.599281221922731
"glm",0.6,"0.5","0.661639984444374",0.680251723104585,0.612758310871518
"glm",0.6,"0.55","0.661639984444374",0.669463590050944,0.610062893081761
"glm",0.6,"0.6","0.661639984444374",0.653880731195685,0.604672057502246
"CART",0.6,"","",0.615522924782739,0.623090745732255
"RandomForest",0.6,"","",0.604435121366497,0.636567834681042
"glm",0.65,"0.4","0.660844241114924",0.652654867256637,0.596815613764766
"glm",0.65,"0.45","0.660844241114924",0.664546460176991,0.608115048793015
"glm",0.65,"0.5","0.660844241114924",0.675884955752212,0.605546995377504
"glm",0.65,"0.55","0.660844241114924",0.67146017699115,0.604006163328197
"glm",0.65,"0.6","0.660844241114924",0.657356194690266,0.600410888546482
"CART",0.65,"","",0.616426991150443,0.622496147919877
"RandomForest",0.65,"","",0.615597345132743,0.629686697483308
"glm",0.7,"0.4","0.658661939352014",0.652799178222907,0.59496704613541
"glm",0.7,"0.45","0.658661939352014",0.66974833076528,0.601557819053325
"glm",0.7,"0.5","0.658661939352014",0.676938880328711,0.596764529658478
"glm",0.7,"0.55","0.658661939352014",0.668977914740627,0.605751947273817
"glm",0.7,"0.6","0.658661939352014",0.654596815613765,0.598562013181546
"CART",0.7,"","",0.616589625064201,0.623127621330138
"RandomForest",0.7,"","",0.614278376990241,0.636908328340324
"glm",0.75,"0.4","0.658932194739399",0.654841802492809,0.598130841121495
"glm",0.75,"0.45","0.658932194739399",0.669223394055609,0.604601006470165
"glm",0.75,"0.5","0.658932194739399",0.677612655800575,0.593817397555715
"glm",0.75,"0.55","0.658932194739399",0.664669223394056,0.604601006470165
"glm",0.75,"0.6","0.658932194739399",0.650767018216683,0.604601006470165
"CART",0.75,"","",0.615771812080537,0.626887131560029
"RandomForest",0.75,"","",0.617689357622244,0.634076204169662
"glm",0.8,"0.4","0.661785008263928",0.65123595505618,0.604672057502246
"glm",0.8,"0.45","0.661785008263928",0.667415730337079,0.607367475292004
"glm",0.8,"0.5","0.661785008263928",0.675056179775281,0.610062893081761
"glm",0.8,"0.55","0.661785008263928",0.663370786516854,0.606469002695418
"glm",0.8,"0.6","0.661785008263928",0.649662921348315,0.602875112309075
"CART",0.8,"","",0.61685393258427,0.618149146451033
"RandomForest",0.8,"","",0.612808988764045,0.627133872416891
