"Model.Technique","SplitRatio","Threshold","AUC","TrainingSet_Accuracy","TestingSet_Accuracy"
"glm",0.5,"0.4","0.655796039578282",0.609492988133765,0.595255212077642
"glm",0.5,"0.45","0.655796039578282",0.625674217907228,0.602084831056794
"glm",0.5,"0.5","0.655796039578282",0.628191298094211,0.608195542774982
"glm",0.5,"0.55","0.655796039578282",0.631427544048903,0.597771387491014
"glm",0.5,"0.6","0.655796039578282",0.605177993527508,0.593098490294752
"CART",0.5,"","",0.624955052139518,0.597411933860532
"RandomForest",0.5,"","",0.585760517799353,0.608195542774982
"glm",0.55,"0.4","0.662708451881128",0.605228758169935,0.59129045145825
"glm",0.55,"0.45","0.662708451881128",0.616339869281046,0.600079904115062
"glm",0.55,"0.5","0.662708451881128",0.62483660130719,0.61286456252497
"glm",0.55,"0.55","0.662708451881128",0.62516339869281,0.613663603675589
"glm",0.55,"0.6","0.662708451881128",0.605228758169935,0.594486616060727
"CART",0.55,"","",0.615032679738562,0.606871753895326
"RandomForest",0.55,"","",0.592156862745098,0.605673192169397
"glm",0.6,"0.4","0.668716174611921",0.605034462091699,0.591194968553459
"glm",0.6,"0.45","0.668716174611921",0.619118969133953,0.60062893081761
"glm",0.6,"0.5","0.668716174611921",0.625412046748577,0.609164420485175
"glm",0.6,"0.55","0.668716174611921",0.623014683847767,0.612758310871518
"glm",0.6,"0.6","0.668716174611921",0.609229847168115,0.600179694519317
"CART",0.6,"","",0.605933473179503,0.613656783468104
"RandomForest",0.6,"","",0.592448306862451,0.607367475292004
"glm",0.65,"0.4","0.6724959757699",0.601769911504425,0.592706728299949
"glm",0.65,"0.45","0.6724959757699",0.612555309734513,0.61171032357473
"glm",0.65,"0.5","0.6724959757699",0.629148230088496,0.614791987673344
"glm",0.65,"0.55","0.6724959757699",0.620575221238938,0.615305598356446
"glm",0.65,"0.6","0.6724959757699",0.607300884955752,0.598356445814073
"CART",0.65,"","",0.605641592920354,0.615305598356446
"RandomForest",0.65,"","",0.589878318584071,0.612223934257833
"glm",0.7,"0.4","0.668636861524273",0.601438109912686,0.58777711204314
"glm",0.7,"0.45","0.668636861524273",0.615305598356446,0.614739364889155
"glm",0.7,"0.5","0.668636861524273",0.630970724191063,0.60814859197124
"glm",0.7,"0.55","0.668636861524273",0.625321006676939,0.615338526063511
"glm",0.7,"0.6","0.668636861524273",0.608115048793015,0.600958657878969
"CART",0.7,"","",0.609142270159219,0.608747753145596
"RandomForest",0.7,"","",0.596302003081664,0.615937687237867
"glm",0.75,"0.4","0.669541159921826",0.602109300095877,0.588785046728972
"glm",0.75,"0.45","0.669541159921826",0.615771812080537,0.609633357296909
"glm",0.75,"0.5","0.669541159921826",0.62823585810163,0.611071171818835
"glm",0.75,"0.55","0.669541159921826",0.627037392138063,0.610352264557872
"glm",0.75,"0.6","0.669541159921826",0.602828379674017,0.599568655643422
"CART",0.75,"","",0.608581016299137,0.610352264557872
"RandomForest",0.75,"","",0.588926174496644,0.611071171818835
"glm",0.8,"0.4","0.663008393557378",0.604943820224719,0.587601078167116
"glm",0.8,"0.45","0.663008393557378",0.619101123595506,0.609164420485175
"glm",0.8,"0.5","0.663008393557378",0.634157303370786,0.598382749326146
"glm",0.8,"0.55","0.663008393557378",0.624943820224719,0.605570530098832
"glm",0.8,"0.6","0.663008393557378",0.607865168539326,0.582210242587601
"CART",0.8,"","",0.609887640449438,0.605570530098832
"RandomForest",0.8,"","",0.604943820224719,0.607367475292004
