"Model.Technique","SplitRatio","Threshold","AUC","TrainingSet_Accuracy","TestingSet_Accuracy"
"glm",0.5,"0.4","0.668999520184664",0.600143833153542,0.592020129403307
"glm",0.5,"0.45","0.668999520184664",0.602660913340525,0.598490294751977
"glm",0.5,"0.5","0.668999520184664",0.610571736785329,0.61646297627606
"glm",0.5,"0.55","0.668999520184664",0.60230133045667,0.605319913731129
"glm",0.5,"0.6","0.668999520184664",0.586120100683208,0.596333572969087
"CART",0.5,"","",0.607335490830636,0.610711718188354
"RandomForest",0.5,"","",0.617403811578569,0.608914450035945
"glm",0.55,"0.4","0.675738777048121",0.597385620915033,0.594486616060727
"glm",0.55,"0.45","0.675738777048121",0.599673202614379,0.6016779864163
"glm",0.55,"0.5","0.675738777048121",0.606862745098039,0.621654015181782
"glm",0.55,"0.55","0.675738777048121",0.600653594771242,0.606072712744706
"glm",0.55,"0.6","0.675738777048121",0.586928104575163,0.596484218937275
"CART",0.55,"","",0.604901960784314,0.614063124250899
"RandomForest",0.55,"","",0.61437908496732,0.617658809428686
"glm",0.6,"0.4","0.675119907962537",0.597542703026671,0.596136567834681
"glm",0.6,"0.45","0.675119907962537",0.599640395564879,0.601976639712489
"glm",0.6,"0.5","0.675119907962537",0.611327539706323,0.622192273135669
"glm",0.6,"0.55","0.675119907962537",0.601438417740485,0.606918238993711
"glm",0.6,"0.6","0.675119907962537",0.588252921786035,0.595238095238095
"CART",0.6,"","",0.605933473179503,0.613656783468104
"RandomForest",0.6,"","",0.617320946958346,0.612758310871518
"glm",0.65,"0.4","0.674185622908459",0.594579646017699,0.601438109912686
"glm",0.65,"0.45","0.674185622908459",0.603982300884956,0.606574216743708
"glm",0.65,"0.5","0.674185622908459",0.610896017699115,0.618387262455059
"glm",0.65,"0.55","0.674185622908459",0.59983407079646,0.604006163328197
"glm",0.65,"0.6","0.674185622908459",0.590154867256637,0.593220338983051
"CART",0.65,"","",0.605641592920354,0.615305598356446
"RandomForest",0.65,"","",0.621128318584071,0.611196712891628
"glm",0.7,"0.4","0.669580162573504",0.596558808423215,0.59796285200719
"glm",0.7,"0.45","0.669580162573504",0.601181304571135,0.599760335530258
"glm",0.7,"0.5","0.669580162573504",0.615305598356446,0.614140203714799
"glm",0.7,"0.55","0.669580162573504",0.601951720595788,0.599760335530258
"glm",0.7,"0.6","0.669580162573504",0.589625064201335,0.595566207309766
"CART",0.7,"","",0.609142270159219,0.608747753145596
"RandomForest",0.7,"","",0.618130457113508,0.60814859197124
"glm",0.75,"0.4","0.669611699633608",0.578379674017258,0.586628324946082
"glm",0.75,"0.45","0.669611699633608",0.605465004793864,0.602444284687275
"glm",0.75,"0.5","0.669611699633608",0.615771812080537,0.612508986340762
"glm",0.75,"0.55","0.669611699633608",0.601390220517737,0.597411933860532
"glm",0.75,"0.6","0.669611699633608",0.589645254074784,0.596693026599569
"CART",0.75,"","",0.608581016299137,0.610352264557872
"RandomForest",0.75,"","",0.61673058485139,0.606757728253055
"glm",0.8,"0.4","0.664476455909518",0.595505617977528,0.602875112309075
"glm",0.8,"0.45","0.664476455909518",0.606516853932584,0.599281221922731
"glm",0.8,"0.5","0.664476455909518",0.617078651685393,0.610062893081761
"glm",0.8,"0.55","0.664476455909518",0.603370786516854,0.590296495956873
"glm",0.8,"0.6","0.664476455909518",0.591011235955056,0.592093441150045
"CART",0.8,"","",0.609887640449438,0.605570530098832
"RandomForest",0.8,"","",0.614606741573034,0.609164420485175
