"Model.Technique","SplitRatio","Threshold","AUC","TrainingSet_Accuracy","TestingSet_Accuracy"
"glm",0.5,"0.4","0.654452037918378",0.603380079108234,0.599928109273904
"glm",0.5,"0.45","0.654452037918378",0.612010068320748,0.60136592379583
"glm",0.5,"0.5","0.654452037918378",0.614167565623876,0.601006470165349
"glm",0.5,"0.55","0.654452037918378",0.597267170082704,0.604601006470165
"glm",0.5,"0.6","0.654452037918378",0.570298453793599,0.580877066858375
"CART",0.5,"","",0.617044228694714,0.610352264557872
"RandomForest",0.5,"","",0.568860122258181,0.6078360891445
"glm",0.55,"0.4","0.658104952606515",0.597712418300654,0.6016779864163
"glm",0.55,"0.45","0.658104952606515",0.610457516339869,0.600878945265681
"glm",0.55,"0.5","0.658104952606515",0.604901960784314,0.613663603675589
"glm",0.55,"0.55","0.658104952606515",0.598366013071895,0.607670795045945
"glm",0.55,"0.6","0.658104952606515",0.572875816993464,0.576907710747103
"CART",0.55,"","",0.590522875816993,0.6016779864163
"RandomForest",0.55,"","",0.579738562091503,0.59129045145825
"glm",0.6,"0.4","0.658213695433775",0.603835780641295,0.60377358490566
"glm",0.6,"0.45","0.658213695433775",0.606832484267306,0.606019766397125
"glm",0.6,"0.5","0.658213695433775",0.609529517530716,0.620395327942498
"glm",0.6,"0.55","0.658213695433775",0.599340725202278,0.609164420485175
"glm",0.6,"0.6","0.658213695433775",0.579262810908001,0.5759209344115
"CART",0.6,"","",0.617920287683548,0.617250673854447
"RandomForest",0.6,"","",0.575966436919389,0.601527403414196
"glm",0.65,"0.4","0.658945439911891",0.603705752212389,0.604006163328197
"glm",0.65,"0.45","0.658945439911891",0.610896017699115,0.606574216743708
"glm",0.65,"0.5","0.658945439911891",0.610342920353982,0.615305598356446
"glm",0.65,"0.55","0.658945439911891",0.603429203539823,0.61171032357473
"glm",0.65,"0.6","0.658945439911891",0.579092920353982,0.580380071905496
"CART",0.65,"","",0.604535398230089,0.618387262455059
"RandomForest",0.65,"","",0.587942477876106,0.610683102208526
"glm",0.7,"0.4","0.664086821169146",0.601694915254237,0.603954463750749
"glm",0.7,"0.45","0.664086821169146",0.613251155624037,0.613541042540443
"glm",0.7,"0.5","0.664086821169146",0.609655880842321,0.617136009586579
"glm",0.7,"0.55","0.664086821169146",0.60220852593734,0.615937687237867
"glm",0.7,"0.6","0.664086821169146",0.580893682588598,0.579988016776513
"CART",0.7,"","",0.605803800719055,0.611743559017376
"RandomForest",0.7,"","",0.583204930662558,0.599760335530258
"glm",0.75,"0.4","0.668511072660052",0.599712368168744,0.607476635514019
"glm",0.75,"0.45","0.668511072660052",0.61241610738255,0.612508986340762
"glm",0.75,"0.5","0.668511072660052",0.60953978906999,0.616822429906542
"glm",0.75,"0.55","0.668511072660052",0.600431447746884,0.626168224299065
"glm",0.75,"0.6","0.668511072660052",0.585330776605944,0.579439252336449
"CART",0.75,"","",0.606184084372004,0.611790079079799
"RandomForest",0.75,"","",0.582933844678811,0.604601006470165
"glm",0.8,"0.4","0.668571150792365",0.601573033707865,0.610961365678347
"glm",0.8,"0.45","0.668571150792365",0.613707865168539,0.610062893081761
"glm",0.8,"0.5","0.668571150792365",0.608539325842697,0.621743036837376
"glm",0.8,"0.55","0.668571150792365",0.604269662921348,0.63162623539982
"glm",0.8,"0.6","0.668571150792365",0.586292134831461,0.583108715184187
"CART",0.8,"","",0.606516853932584,0.611859838274933
"RandomForest",0.8,"","",0.579775280898876,0.601078167115903
