"Model.Technique","SplitRatio","Threshold","AUC","TrainingSet_Accuracy","TestingSet_Accuracy"
"glm",0.5,"0.4","0.6596291157133",0.597626752966559,0.591301222142344
"glm",0.5,"0.45","0.6596291157133",0.608054656598346,0.60352264557872
"glm",0.5,"0.5","0.6596291157133",0.60913340524991,0.607476635514019
"glm",0.5,"0.55","0.6596291157133",0.59618842143114,0.614665708123652
"glm",0.5,"0.6","0.6596291157133",0.568860122258181,0.584831056793674
"CART",0.5,"","",0.607335490830636,0.615744069015097
"RandomForest",0.5,"","",0.573894282632147,0.599928109273904
"glm",0.55,"0.4","0.668499671910966",0.593790849673203,0.600479424690372
"glm",0.55,"0.45","0.668499671910966",0.608496732026144,0.606472233320016
"glm",0.55,"0.5","0.668499671910966",0.605555555555556,0.614862165401518
"glm",0.55,"0.55","0.668499671910966",0.58562091503268,0.622852576907711
"glm",0.55,"0.6","0.668499671910966",0.569281045751634,0.584099081102677
"CART",0.55,"","",0.590522875816993,0.6016779864163
"RandomForest",0.55,"","",0.581372549019608,0.604075109868158
"glm",0.6,"0.4","0.668703616683412",0.593646988312856,0.602875112309075
"glm",0.6,"0.45","0.668703616683412",0.607132154629907,0.608715184186882
"glm",0.6,"0.5","0.668703616683412",0.608031165717711,0.616352201257862
"glm",0.6,"0.55","0.668703616683412",0.590949955049446,0.626684636118598
"glm",0.6,"0.6","0.668703616683412",0.574468085106383,0.585354896675651
"CART",0.6,"","",0.617920287683548,0.617250673854447
"RandomForest",0.6,"","",0.587054240335631,0.594339622641509
"glm",0.65,"0.4","0.667152221798621",0.594303097345133,0.602978941961993
"glm",0.65,"0.45","0.667152221798621",0.612002212389381,0.60708782742681
"glm",0.65,"0.5","0.667152221798621",0.612555309734513,0.624550590652286
"glm",0.65,"0.55","0.667152221798621",0.598451327433628,0.621468926553672
"glm",0.65,"0.6","0.667152221798621",0.579369469026549,0.587057010785824
"CART",0.65,"","",0.604535398230089,0.618387262455059
"RandomForest",0.65,"","",0.589601769911504,0.597842835130971
"glm",0.7,"0.4","0.667482416695492",0.593990755007704,0.605751947273817
"glm",0.7,"0.45","0.667482416695492",0.612223934257833,0.606351108448173
"glm",0.7,"0.5","0.667482416695492",0.614535182331792,0.62133013780707
"glm",0.7,"0.55","0.667482416695492",0.598870056497175,0.623127621330138
"glm",0.7,"0.6","0.667482416695492",0.582691319979456,0.585380467345716
"CART",0.7,"","",0.605803800719055,0.611743559017376
"RandomForest",0.7,"","",0.583461736004109,0.601557819053325
"glm",0.75,"0.4","0.668148000614112",0.593240651965484,0.608914450035945
"glm",0.75,"0.45","0.668148000614112",0.610498561840844,0.603163191948239
"glm",0.75,"0.5","0.668148000614112",0.611217641418984,0.619698058950395
"glm",0.75,"0.55","0.668148000614112",0.602109300095877,0.619698058950395
"glm",0.75,"0.6","0.668148000614112",0.584372003835091,0.588785046728972
"CART",0.75,"","",0.606184084372004,0.611790079079799
"RandomForest",0.75,"","",0.584372003835091,0.605319913731129
"glm",0.8,"0.4","0.667942444177982",0.593932584269663,0.611859838274933
"glm",0.8,"0.45","0.667942444177982",0.611460674157303,0.601078167115903
"glm",0.8,"0.5","0.667942444177982",0.615280898876404,0.620844564240791
"glm",0.8,"0.55","0.667942444177982",0.603595505617977,0.632524707996406
"glm",0.8,"0.6","0.667942444177982",0.583370786516854,0.587601078167116
"CART",0.8,"","",0.606516853932584,0.611859838274933
"RandomForest",0.8,"","",0.587640449438202,0.601976639712489
