"Model.Technique","SplitRatio","Threshold","AUC","TrainingSet_Accuracy","TestingSet_Accuracy"
"glm",0.5,"0.4","0.658298860114376",0.631067961165049,0.599928109273904
"glm",0.5,"0.45","0.658298860114376",0.646530025170802,0.6078360891445
"glm",0.5,"0.5","0.658298860114376",0.652283351312477,0.608554996405464
"glm",0.5,"0.55","0.658298860114376",0.641136281912981,0.608554996405464
"glm",0.5,"0.6","0.658298860114376",0.61596548004315,0.603163191948239
"CART",0.5,"","",0.631427544048903,0.610711718188354
"RandomForest",0.5,"","",0.611650485436893,0.631200575125809
"glm",0.55,"0.4","0.661843373370448",0.624183006535948,0.599280862964443
"glm",0.55,"0.45","0.661843373370448",0.65,0.608070315621254
"glm",0.55,"0.5","0.661843373370448",0.650980392156863,0.615261685976828
"glm",0.55,"0.55","0.661843373370448",0.64281045751634,0.614063124250899
"glm",0.55,"0.6","0.661843373370448",0.622222222222222,0.605273671594087
"CART",0.55,"","",0.629411764705882,0.626847782660807
"RandomForest",0.55,"","",0.601960784313725,0.63403915301638
"glm",0.6,"0.4","0.65793093949509",0.62631105783638,0.59748427672956
"glm",0.6,"0.45","0.65793093949509",0.653281390470483,0.608715184186882
"glm",0.6,"0.5","0.65793093949509",0.659574468085106,0.618149146451033
"glm",0.6,"0.55","0.65793093949509",0.641893916691639,0.612309074573225
"glm",0.6,"0.6","0.65793093949509",0.623913694935571,0.605570530098832
"CART",0.6,"","",0.622115672759964,0.61769991015274
"RandomForest",0.6,"","",0.614923584057537,0.628930817610063
"glm",0.65,"0.4","0.658271910873894",0.627765486725664,0.599383667180277
"glm",0.65,"0.45","0.658271910873894",0.649336283185841,0.604519774011299
"glm",0.65,"0.5","0.658271910873894",0.650442477876106,0.612737544940935
"glm",0.65,"0.55","0.658271910873894",0.647676991150443,0.618900873138161
"glm",0.65,"0.6","0.658271910873894",0.625553097345133,0.601438109912686
"CART",0.65,"","",0.630807522123894,0.619928094504366
"RandomForest",0.65,"","",0.60896017699115,0.631227529532614
"glm",0.7,"0.4","0.66170010377032",0.628659476117103,0.603954463750749
"glm",0.7,"0.45","0.66170010377032",0.644581407293272,0.614739364889155
"glm",0.7,"0.5","0.66170010377032",0.653826399589111,0.621929298981426
"glm",0.7,"0.55","0.66170010377032",0.645608628659476,0.610545236668664
"glm",0.7,"0.6","0.66170010377032",0.629429892141757,0.601557819053325
"CART",0.7,"","",0.633281972265023,0.617136009586579
"RandomForest",0.7,"","",0.605803800719055,0.617735170760935
"glm",0.75,"0.4","0.667467499865144",0.622962607861937,0.604601006470165
"glm",0.75,"0.45","0.667467499865144",0.63902205177373,0.612508986340762
"glm",0.75,"0.5","0.667467499865144",0.653883029721956,0.623292595255212
"glm",0.75,"0.55","0.667467499865144",0.643815915627996,0.618260244428469
"glm",0.75,"0.6","0.667467499865144",0.629913710450623,0.602444284687275
"CART",0.75,"","",0.631591562799616,0.611790079079799
"RandomForest",0.75,"","",0.615771812080537,0.631919482386772
"glm",0.8,"0.4","0.677317950546069",0.623820224719101,0.607367475292004
"glm",0.8,"0.45","0.677317950546069",0.639101123595506,0.635220125786163
"glm",0.8,"0.5","0.677317950546069",0.646292134831461,0.637017070979335
"glm",0.8,"0.55","0.677317950546069",0.64314606741573,0.622641509433962
"glm",0.8,"0.6","0.677317950546069",0.624943820224719,0.600179694519317
"CART",0.8,"","",0.624044943820225,0.622641509433962
"RandomForest",0.8,"","",0.604943820224719,0.630727762803235
