"Model.Technique","SplitRatio","Threshold","AUC","TrainingSet_Accuracy","TestingSet_Accuracy"
"glm",0.5,"0.4",0.670060041756902,0.598705501618123,0.599928109273904
"glm",0.5,"0.5",0.670060041756902,0.625674217907228,0.617900790797987
"glm",0.5,"0.6",0.670060041756902,0.581085940309241,0.599568655643422
"CART",0.5,"",0.654026169387782,0.625314635023373,0.615384615384615
"RandomForest",0.5,"",NA,0.620280474649407,0.618260244428469
"glm",0.6,"0.4",0.674184139741388,0.598741384477075,0.60062893081761
"glm",0.6,"0.5",0.674184139741388,0.62361402457297,0.626684636118598
"glm",0.6,"0.6",0.674184139741388,0.582259514534013,0.60377358490566
"CART",0.6,"",0.655948002074084,0.622115672759964,0.61769991015274
"RandomForest",0.6,"",NA,0.616721606233144,0.624438454627134
"glm",0.7,"0.4",0.672032457050617,0.596558808423215,0.605152786099461
"glm",0.7,"0.5",0.672032457050617,0.624807395993837,0.62432594367885
"glm",0.7,"0.6",0.672032457050617,0.589881869542886,0.603954463750749
"CART",0.7,"",0.662897786233137,0.623780174627632,0.627321749550629
"RandomForest",0.7,"",NA,0.616846430405752,0.62133013780707
"glm",0.8,"0.4",0.672648021518618,0.598202247191011,0.600179694519317
"glm",0.8,"0.5",0.672648021518618,0.624719101123596,0.630727762803235
"glm",0.8,"0.6",0.672648021518618,0.592808988764045,0.608265947888589
"CART",0.8,"",0.662382927698739,0.62314606741573,0.63162623539982
"RandomForest",0.8,"",NA,0.615056179775281,0.628032345013477
"glm",0.9,"0.4",0.692161828690175,0.597363690832834,0.607913669064748
"glm",0.9,"0.5",0.692161828690175,0.62232873976433,0.640287769784173
"glm",0.9,"0.6",0.692161828690175,0.593169562612343,0.62410071942446
"CART",0.9,"",0.673738554451588,0.618134611543839,0.647482014388489
"RandomForest",0.9,"",NA,0.613141601757539,0.643884892086331
"glm",0.95,"0.4",0.703380588876772,0.597540208136235,0.622302158273381
"glm",0.95,"0.5",0.703380588876772,0.623273415326395,0.647482014388489
"glm",0.95,"0.6",0.703380588876772,0.59356669820246,0.640287769784173
"CART",0.95,"",0.688087448719946,0.619489120151372,0.651079136690647
"RandomForest",0.95,"",NA,0.620056764427625,0.636690647482014
