"Model.Technique","SplitRatio","Threshold","Training.AUC","Test.AUC","TrainingSet.Accuracy","TestSet.Accuracy","Next.Variable","Prediction.Formula"
"glm",0.999,0.5,0.674082092499669,1,0.628756523303941,1,"Q115899","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q115899"
"glm",0.6,0.5,0.686897575593268,0.649856191463849,0.633203476176206,0.605570530098832,"Q102687","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q102687"
"glm",0.8,0.5,0.676670074558014,0.662246815957481,0.629887640449438,0.608265947888589,"Q102687","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q102687"
"glm",0.999,0.5,0.673901710425085,1,0.626057225121468,1,"Q102687","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q102687"
"glm",0.6,0.5,0.685355462846529,0.653664889652269,0.633802816901408,0.610512129380054,"Q116953","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q116953"
"glm",0.8,0.5,0.67688983388101,0.662322973717471,0.629213483146067,0.607367475292004,"Q116953","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q116953"
"glm",0.999,0.5,0.674231143345442,1,0.625337412272809,1,"Q116953","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q116953"
"glm",0.6,0.5,0.684989537787983,0.652723450108566,0.6317051243632,0.610062893081761,"Q105655","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q105655"
"glm",0.8,0.5,0.676669669098008,0.66127458923421,0.628089887640449,0.611859838274933,"Q105655","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q105655"
"glm",0.999,0.5,0.67368128678007,1,0.626417131545798,1,"Q105655","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q105655"
"glm",0.6,0.5,0.684982327442,0.652628658003046,0.631105783637998,0.607816711590296,"Q112270","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q112270"
"glm",0.8,0.5,0.676335975513459,0.661857925268172,0.627640449438202,0.613656783468104,"Q112270","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q112270"
"glm",0.999,0.5,0.673550631655775,1,0.626597084757963,1,"Q112270","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q112270"
"glm",0.6,0.5,0.685044336417439,0.653135026088084,0.636499850164819,0.608265947888589,"Q118232","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q118232"
"glm",0.8,0.5,0.676774683239442,0.661331302459734,0.630337078651685,0.610062893081761,"Q118232","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q118232"
"glm",0.999,0.5,0.673879219542993,1,0.625517365484974,1,"Q118232","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q118232"
"glm",0.6,0.5,0.685941844233453,0.650760362316492,0.636499850164819,0.60062893081761,"Q122770","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q122770"
"glm",0.8,0.5,0.676535056376174,0.662055611368571,0.627415730337079,0.610961365678347,"Q122770","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q122770"
"glm",0.999,0.5,0.673827997534064,1,0.628936476516106,1,"Q122770","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q122770"
"glm",0.6,0.5,0.686033235368767,0.654732313575527,0.632903805813605,0.616352201257862,"Q120379","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q120379"
"glm",0.8,0.5,0.67711212732904,0.66657322487604,0.633033707865169,0.613656783468104,"Q120379","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q120379"
"glm",0.999,0.5,0.675116933086119,1,0.626417131545798,1,"Q120379","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q120379"
"glm",0.6,0.5,0.684996928392613,0.652607998185177,0.6317051243632,0.606918238993711,"Q119334","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q119334"
"glm",0.8,0.5,0.676457410785112,0.66182551771073,0.628314606741573,0.610062893081761,"Q119334","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q119334"
"glm",0.999,0.5,0.673653010671081,1,0.626237178333633,1,"Q119334","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q119334"
"glm",0.6,0.5,0.684922842087656,0.652600706484753,0.632304465088403,0.607367475292004,"Q120978","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q120978"
"glm",0.8,0.5,0.67641291154951,0.660244028907542,0.627640449438202,0.611859838274933,"Q120978","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q120978"
"glm",0.999,0.5,0.673687462022262,1,0.627496850818787,1,"Q120978","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q120978"
"glm",0.6,0.5,0.685813319816339,0.653422643160386,0.633503146538807,0.609613656783468,"Q115390","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q115390"
"glm",0.8,0.5,0.677469236228903,0.661556534983958,0.62876404494382,0.61455525606469,"Q115390","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q115390"
"glm",0.999,0.5,0.674185056537919,1,0.628396616879611,1,"Q115390","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q115390"
"glm",0.6,0.5,0.684940687693958,0.652415983407331,0.631405454000599,0.607816711590296,"Q114961","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q114961"
"glm",0.8,0.5,0.676408856949453,0.661697507858833,0.62876404494382,0.610062893081761,"Q114961","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q114961"
"glm",0.999,0.5,0.673672121420605,1,0.625517365484974,1,"Q114961","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q114961"
"glm",0.6,0.5,0.686045853474235,0.651532472372558,0.631405454000599,0.608265947888589,"Q115195","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q115195"
"glm",0.8,0.5,0.677073608628514,0.660582687882815,0.632359550561798,0.610961365678347,"Q115195","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q115195"
"glm",0.999,0.5,0.673857508691491,1,0.627136944394457,1,"Q115195","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q115195"
"glm",0.6,0.5,0.685128697465422,0.652927617720454,0.634402157626611,0.61141060197664,"Q120012","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q120012"
"glm",0.8,0.5,0.67642548080968,0.661994037009431,0.628539325842697,0.610062893081761,"Q120012","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q120012"
"glm",0.999,0.5,0.673830597636039,1,0.625517365484974,1,"Q120012","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q120012"
"glm",0.6,0.5,0.685068851593774,0.6523074180899,0.632004794725802,0.608265947888589,"Q98078","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q98078"
"glm",0.8,0.5,0.676420716654612,0.662026444566873,0.629887640449438,0.610961365678347,"Q98078","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q98078"
"glm",0.999,0.5,0.673737904000597,1,0.626057225121468,1,"Q98078","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q98078"
"glm",0.6,0.5,0.685049924435574,0.65365800304631,0.630806113275397,0.612309074573225,"Q119851","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q119851"
"glm",0.8,0.5,0.676656288917826,0.663191496256927,0.630112359550562,0.609164420485175,"Q119851","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q119851"
"glm",0.999,0.5,0.674083717563405,1,0.627136944394457,1,"Q119851","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q119851"
